,time,open,high,low,close,volume
49,2025-01-31,191.5,191.84,188.29,188.93,420262.0
50,2025-01-30,190.94,191.72,189.765,190.97,410142.0
51,2025-01-29,187.62,188.04,186.48,186.98,258228.0
52,2025-01-28,186.15,186.4,184.15,185.29,382635.0
53,2025-01-27,186.8,187.06,185.815,186.5,308124.0
54,2025-01-24,185.98,187.46,185.4,186.61,278913.0
55,2025-01-23,186.01,186.7,185.05,186.27,237653.0
56,2025-01-22,187.0,187.5,186.395,186.52,247825.0
57,2025-01-21,184.46,186.93,184.46,186.93,330436.0
58,2025-01-17,180.26,181.39,179.7173,180.78,432102.0
59,2025-01-16,181.52,182.35,181.25,181.48,422396.0
60,2025-01-15,186.28,186.635,183.9862,184.84,416639.0
61,2025-01-14,185.56,185.94,184.58,185.41,326349.0
62,2025-01-13,182.24,183.5,181.4803,183.25,310719.0
63,2025-01-10,185.69,186.35,183.43,183.47,473091.0
64,2025-01-08,192.96,193.02,191.52,192.55,436715.0
65,2025-01-07,194.59,194.9688,192.42,193.12,585541.0
66,2025-01-06,193.0,193.27,189.84,190.39,664416.0
67,2025-01-03,194.19,195.5,193.23,195.25,611381.0
68,2025-01-02,194.4,194.8,192.0,193.12,615743.0
69,2024-12-31,195.35,196.57,193.94,194.61,442617.0
70,2024-12-30,198.0,198.0,195.61,195.66,463609.0
71,2024-12-27,200.36,200.9999,198.18,199.52,779542.0
72,2024-12-26,195.97,198.0,193.1323,197.36,1297220.0
73,2024-12-24,181.0,181.72,180.83,181.43,168580.0
74,2024-12-23,179.12,180.62,177.97,180.45,422688.0
75,2024-12-20,175.84,179.9215,175.84,178.17,425694.0
76,2024-12-19,174.86,175.8,173.7701,174.21,405896.0
77,2024-12-18,177.33,179.3692,173.55,173.62,457921.0
78,2024-12-17,174.0,174.63,173.28,173.28,420959.0
79,2024-12-16,174.57,174.9726,173.85,174.25,327358.0
80,2024-12-13,176.17,176.27,175.05,175.86,226009.0
81,2024-12-12,177.94,178.59,176.82,176.9,214096.0
82,2024-12-11,177.3,178.44,176.48,178.15,290341.0
83,2024-12-10,177.01,177.35,175.34,175.71,237127.0
84,2024-12-09,176.35,178.6015,176.21,177.01,375985.0
85,2024-12-06,175.86,176.24,175.29,175.95,290724.0
86,2024-12-05,175.58,176.15,174.4,174.4,405527.0
87,2024-12-04,176.25,176.25,174.2506,174.78,400545.0
88,2024-12-03,176.7,176.76,175.57,176.0,412181.0
89,2024-12-02,173.35,176.1445,173.155,175.81,634891.0
90,2024-11-29,169.8,170.63,169.42,170.63,247724.0
91,2024-11-27,170.08,170.3472,169.12,169.72,478541.0
92,2024-11-26,173.2,173.43,172.31,172.52,410685.0
93,2024-11-25,175.87,176.56,175.17,175.83,347925.0
94,2024-11-22,172.75,174.78,172.64,174.4,369057.0
95,2024-11-21,173.05,174.26,172.98,173.38,314749.0
96,2024-11-20,173.77,174.21,171.77,172.91,295507.0
97,2024-11-19,175.2,176.09,175.0,175.39,254581.0
98,2024-11-18,173.0,175.82,172.8444,174.78,289389.0
99,2024-11-15,173.23,173.55,171.78,172.84,282329.0
